"composition","vec","deltachi","delta","deltahmix","deltasmix","ref","phase","density","hv","testtype","ys","ysmax","elongation","ym","group"
"CoFeNi",9,0.0329983164553721,0.327647103101002,-1.33333333333333,9.13437080597477,"4","FCC","8.5",125,"C",204,NA,NA,207,"Al-Co-Cr-Fe-Mn-Ni"
"CoFeNi",9,0.0329983164553721,0.327647103101002,-1.33333333333333,9.13437080597477,"4","FCC","8.5",125,"C",209,NA,NA,207,"Al-Co-Cr-Fe-Mn-Ni"
"CoFeNi",9,0.0329983164553721,0.327647103101002,-1.33333333333333,9.13437080597477,"5","FCC","8.5",NA,"T",211,513,"31",207,"Al-Co-Cr-Fe-Mn-Ni"
"CoFeNiSi0.25",8.61538461538462,0.0324903262799121,2.0252824210317,-11.8343195266272,10.6865208024197,"4","FCC","7.7",149,"C",196,NA,NA,194,"Al-Co-Cr-Fe-Mn-Ni"
"CoFeNiSi0.5",8.28571428571428,0.0319438282499969,2.65771025413079,-19.4285714285714,11.2393574883391,"4","FCC+Im","7.1",287,"C",476,NA,NA,NA,"Al-Co-Cr-Fe-Mn-Ni"
"CoFeNiSi0.75",8,0.0313829394558395,3.04536270652963,-24.96,11.4680738893214,"4","FCC+Im","6.6",570,"C",1301,NA,NA,NA,"Al-Co-Cr-Fe-Mn-Ni"
"Al0.25CoFeNi",8.53846153846154,0.076999961576875,3.94493025637091,-6.05917159763314,10.6865208024197,"4","FCC","7.9",138,"C",158,NA,NA,196,"Al-Co-Cr-Fe-Mn-Ni"
"Al0.5CoFeNi",8.14285714285714,0.0970798114744685,5.12317753419507,-9.46938775510204,11.2393574883391,"4","FCC+BCC","7.4",212,"C",346,NA,NA,187,"Al-Co-Cr-Fe-Mn-Ni"
"Al0.75CoFeNi",7.8,0.1093902290985,5.80498377805972,-11.9466666666667,11.4680738893214,"4","FCC+BCC","7.0",385,"C",794,NA,NA,179,"Al-Co-Cr-Fe-Mn-Ni"
"CoCrFeNi",8.25,0.0966953980290686,0.302115884766774,-3.75,11.526292643288,"6","FCC","8.2",NA,"T",148,413,"48",225,"Al-Co-Cr-Fe-Mn-Ni"
